wl,Ag_k,PDMS_k
8.98,62.363333,0.42500000
8.99,62.431667,0.44700000
9.00,62.500000,0.46900000
9.01,62.563846,0.49116667
9.02,62.627692,0.51333333
9.03,62.691538,0.53550000
9.04,62.755385,0.55766667
9.05,62.819231,0.57983333
9.06,62.883077,0.60200000
9.07,62.946923,0.61428571
9.08,63.010769,0.62657143
9.09,63.074615,0.63885714
9.10,63.138462,0.65114286
9.11,63.202308,0.66342857
9.12,63.266154,0.67571429
9.13,63.330000,0.68800000
9.14,63.396154,0.69083333
9.15,63.462308,0.69366667
9.16,63.528462,0.69650000
9.17,63.594615,0.69933333
9.18,63.660769,0.70216667
9.19,63.726923,0.70500000
9.20,63.793077,0.70014286
9.21,63.859231,0.69528571
9.22,63.925385,0.69042857
9.23,63.991538,0.68557143
9.24,64.057692,0.68071429
9.25,64.123846,0.67585714
9.26,64.190000,0.67100000
9.27,64.257692,0.66314286
9.28,64.325385,0.65528571
9.29,64.393077,0.64742857
9.30,64.460769,0.63957143
9.31,64.528462,0.63171429
9.32,64.596154,0.62385714
9.33,64.663846,0.61600000
9.34,64.731538,0.60700000
9.35,64.799231,0.59800000
9.36,64.866923,0.58900000
9.37,64.934615,0.58000000
9.38,65.002308,0.57100000
9.39,65.070000,0.56200000
9.40,65.135000,0.55585714
9.41,65.200000,0.54971429
9.42,65.265000,0.54357143
9.43,65.330000,0.53742857
9.44,65.395000,0.53128571
9.45,65.460000,0.52514286
9.46,65.525000,0.51900000
9.47,65.590000,0.51500000
9.48,65.655000,0.51100000
9.49,65.720000,0.50700000
9.50,65.785000,0.50300000
9.51,65.850000,0.49900000
9.52,65.915000,0.49500000
9.53,65.980000,0.49100000
9.54,66.046429,0.48985714
9.55,66.112857,0.48871429
9.56,66.179286,0.48757143
9.57,66.245714,0.48642857
9.58,66.312143,0.48528571
9.59,66.378571,0.48414286
9.60,66.445000,0.48300000
9.61,66.511429,0.48414286
9.62,66.577857,0.48528571
9.63,66.644286,0.48642857
9.64,66.710714,0.48757143
9.65,66.777143,0.48871429
