wl,Ag_n,PDMS_n
8.440000,7.228455,1.189543
8.450000,7.245182,1.187487
8.460000,7.261909,1.185431
8.470000,7.278636,1.183376
8.480000,7.295364,1.178197
8.490000,7.312091,1.175073
8.500000,7.328818,1.171950
8.510000,7.345545,1.168827
8.520000,7.362273,1.165703
8.530000,7.379000,1.159410
8.540000,7.396273,1.156240
8.550000,7.413545,1.153070
8.560000,7.430818,1.149900
8.570000,7.448091,1.146730
8.580000,7.465364,1.143560
8.590000,7.482636,1.136617
8.600000,7.499909,1.132844
8.610000,7.517182,1.129071
8.620000,7.534455,1.125299
8.630000,7.551727,1.121526
8.640000,7.569000,1.117753
8.650000,7.585500,1.108050
8.660000,7.602000,1.102120
8.670000,7.618500,1.096190
8.680000,7.635000,1.090260
8.690000,7.651500,1.084330
8.700000,7.668000,1.072493
8.710000,7.684500,1.066586
8.720000,7.701000,1.060679
8.730000,7.717500,1.054771
8.740000,7.734000,1.048864
8.750000,7.750500,1.042957
8.760000,7.767000,1.030439
8.770000,7.784083,1.023827
8.780000,7.801167,1.017216
8.790000,7.818250,1.010604
8.800000,7.835333,1.003993
8.810000,7.852417,0.997381
8.820000,7.869500,0.983864
8.830000,7.886583,0.976959
8.840000,7.903667,0.970053
8.850000,7.920750,0.963147
8.860000,7.937833,0.956241
8.870000,7.954917,0.949336
8.880000,7.972000,0.937583
8.890000,7.989833,0.932736
8.900000,8.007667,0.927889
8.910000,8.025500,0.923041
8.920000,8.043333,0.918194
8.930000,8.061167,0.913347
8.940000,8.079000,0.909555
8.950000,8.096833,0.910610
8.960000,8.114667,0.911665
8.970000,8.132500,0.912720
8.980000,8.150333,0.913775
8.990000,8.168167,0.914830
9.000000,8.186000,0.915885
9.010000,8.203077,0.927800
9.020000,8.220154,0.938660
9.030000,8.237231,0.949520
9.040000,8.254308,0.960380
9.050000,8.271385,0.971240
9.060000,8.288462,0.982100
9.070000,8.305538,1.011940
9.080000,8.322615,1.030920
9.090000,8.339692,1.049900
9.100000,8.356769,1.068880
9.110000,8.373846,1.087860
9.120000,8.390923,1.106840
9.130000,8.408000,1.143930
9.140000,8.425769,1.162040
9.150000,8.443538,1.180150
9.160000,8.461308,1.198260
9.170000,8.479077,1.216370
9.180000,8.496846,1.234480
9.190000,8.514615,1.252590
9.200000,8.532385,1.287279
9.210000,8.550154,1.303857
9.220000,8.567923,1.320436
9.230000,8.585692,1.337014
9.240000,8.603462,1.353593
9.250000,8.621231,1.370171
9.260000,8.639000,1.396481
9.270000,8.657538,1.406212
9.280000,8.676077,1.415944
9.290000,8.694615,1.425675
9.300000,8.713154,1.435406
9.310000,8.731692,1.445137
9.320000,8.750231,1.454869
9.330000,8.768769,1.470481
9.340000,8.787308,1.476363
9.350000,8.805846,1.482244
9.360000,8.824385,1.488125
9.370000,8.842923,1.494006
9.380000,8.861462,1.499887
9.390000,8.880000,1.505769
9.400000,8.897929,1.514880
9.410000,8.915857,1.518110
9.420000,8.933786,1.521340
9.430000,8.951714,1.524570
9.440000,8.969643,1.527800
9.450000,8.987571,1.531030
9.460000,9.005500,1.534260
9.470000,9.023429,1.539313
9.480000,9.041357,1.541135
9.490000,9.059286,1.542957
9.500000,9.077214,1.544780
9.510000,9.095143,1.546603
9.520000,9.113071,1.548425
9.530000,9.131000,1.550248
9.540000,9.149714,1.554160
9.550000,9.168429,1.556250
9.560000,9.187143,1.558340
9.570000,9.205857,1.560430
9.580000,9.224571,1.562520
9.590000,9.243286,1.564610
9.600000,9.262000,1.566700
9.610000,9.280714,1.572912
9.620000,9.299429,1.577035
9.630000,9.318143,1.581157
9.640000,9.336857,1.585280
9.650000,9.355571,1.589402
