wl,SIO2_n,SIO2_k
8.39,0.610403,0.72139370
8.40,0.612449,0.72735900
8.41,0.616568,0.73924550
8.42,0.618641,0.74516671
8.43,0.622828,0.75695638
8.44,0.624941,0.76282484
8.45,0.629210,0.77449420
8.46,0.631365,0.78029509
8.47,0.635709,0.79181289
8.48,0.637898,0.79752979
8.49,0.643386,0.81167718
8.50,0.648866,0.82562731
8.51,0.651047,0.83114696
8.52,0.655353,0.84209337
8.53,0.657478,0.84752013
8.54,0.661637,0.85830190
8.55,0.663671,0.86365691
8.56,0.667617,0.87432905
8.57,0.669529,0.87964617
8.58,0.673208,0.89028612
8.59,0.674976,0.89560895
8.60,0.678359,0.90630909
8.61,0.679974,0.91168641
8.62,0.683057,0.92254397
8.63,0.684524,0.92802422
8.64,0.687327,0.93913024
8.65,0.688662,0.94475601
8.66,0.691224,0.95618562
8.67,0.692450,0.96198946
8.68,0.694818,0.97379576
8.69,0.695960,0.97979823
8.70,0.698177,0.99201142
8.71,0.699252,0.99822214
8.72,0.701343,1.01085480
8.73,0.702357,1.01727674
8.74,0.704316,1.03033556
8.75,0.705260,1.03697244
8.76,0.707048,1.05047498
8.77,0.707892,1.05734062
8.78,0.709438,1.07133545
8.79,0.710139,1.07846464
8.80,0.711345,1.09305199
8.81,0.711851,1.10051017
8.82,0.712619,1.11586012
8.83,0.712882,1.12375190
8.84,0.713134,1.14011722
8.85,0.713124,1.14859076
8.86,0.712841,1.16631043
8.87,0.712567,1.17555657
8.88,0.711943,1.19248591
8.89,0.711592,1.20016911
8.90,0.711241,1.20785232
8.91,0.710373,1.22702178
8.92,0.709857,1.23850803
8.93,0.709017,1.26295883
8.94,0.708694,1.27592337
8.95,0.708585,1.30352550
8.96,0.708799,1.31816308
8.97,0.710203,1.34922449
8.98,0.711393,1.36564831
8.99,0.715266,1.40027245
9.00,0.717948,1.41847277
9.01,0.725356,1.45648128
9.02,0.730082,1.47628947
9.03,0.742109,1.51716470
9.04,0.749409,1.53823173
9.05,0.767024,1.58109677
9.06,0.777340,1.60289478
9.07,0.801268,1.64654738
9.08,0.814881,1.66840196
9.09,0.845471,1.71140998
9.10,0.862449,1.73256341
9.11,0.899599,1.77341448
9.12,0.919771,1.79311211
9.13,0.962920,1.83039228
9.14,0.985896,1.84797482
9.15,1.027791,1.87679206
9.16,1.046709,1.88802677
9.17,1.065628,1.89926147
9.18,1.111387,1.92259653
9.19,1.138228,1.93469689
9.20,1.192906,1.95594918
9.21,1.220744,1.96510112
9.22,1.276879,1.98054938
9.23,1.305178,1.98684571
9.24,1.361822,1.99677083
9.25,1.390168,2.00039962
9.26,1.446608,2.00520762
9.27,1.474702,2.00638683
9.28,1.530429,2.00650007
9.29,1.558061,2.00543411
9.30,1.612697,2.00123373
9.31,1.639701,1.99809930
9.32,1.686378,1.99118167
9.33,1.706050,1.98739845
9.34,1.725723,1.98361524
9.35,1.770711,1.97303780
9.36,1.796027,1.96624358
9.37,1.845622,1.95108136
9.38,1.869901,1.94271336
9.39,1.917328,1.92459836
9.40,1.940477,1.91485137
9.41,1.985596,1.89418173
9.42,2.007565,1.88325910
9.43,2.050326,1.86043226
9.44,2.071116,1.84852806
9.45,2.106648,1.82708443
9.46,2.121389,1.81754500
9.47,2.136130,1.80800557
9.48,2.169462,1.78505758
9.49,2.188052,1.77164901
9.50,2.224251,1.74422192
9.51,2.241860,1.73020341
9.52,2.276172,1.70159210
9.53,2.292874,1.68699930
9.54,2.325428,1.65724056
9.55,2.341279,1.64207461
9.56,2.368398,1.61508871
9.57,2.379665,1.60326876
9.58,2.390933,1.59144881
9.59,2.416386,1.56324642
9.60,2.430572,1.54686399
9.61,2.458065,1.51345330
9.62,2.471372,1.49642505
9.63,2.497041,1.46171517
9.64,2.509402,1.44403356
9.65,2.533095,1.40803230
