wl,Al_n,Al_k
6.88,14.060957,62.759786
6.89,14.118655,62.921644
6.90,14.149310,63.002287
6.91,14.179966,63.082931
6.92,14.210621,63.163575
6.93,14.241276,63.244218
6.94,14.271931,63.324862
6.95,14.302586,63.405506
6.96,14.333241,63.486149
6.97,14.363897,63.566793
6.98,14.394552,63.647437
6.99,14.425207,63.728080
7.00,14.455862,63.808724
7.01,14.486517,63.889368
7.02,14.517172,63.970011
7.03,14.547828,64.050655
7.04,14.578483,64.131299
7.05,14.609138,64.211943
7.06,14.639793,64.292586
7.07,14.670448,64.373230
7.08,14.701103,64.453874
7.09,14.731759,64.534517
7.10,14.762414,64.615161
7.11,14.793069,64.695805
7.12,14.823724,64.776448
7.13,14.854379,64.857092
7.14,14.885034,64.937736
7.15,14.915690,65.018379
7.16,14.946345,65.099023
7.17,14.977000,65.179667
7.18,15.007655,65.260310
7.19,15.038310,65.340954
7.20,15.068966,65.421598
7.21,15.099621,65.502241
7.22,15.130276,65.582885
7.23,15.160931,65.663529
7.24,15.191586,65.744172
7.25,15.222241,65.824816
7.26,15.252897,65.905460
7.27,15.283552,65.986103
7.28,15.314207,66.066747
7.29,15.344862,66.147391
7.30,15.375517,66.228034
7.31,15.406172,66.308678
7.32,15.436828,66.389322
7.33,15.467483,66.469966
7.34,15.498138,66.550609
7.35,15.528793,66.631253
7.36,15.559448,66.711897
7.37,15.590103,66.792540
7.38,15.620759,66.873184
7.39,15.651414,66.953828
7.40,15.682069,67.034471
7.41,15.712724,67.115115
7.42,15.743379,67.195759
7.43,15.774034,67.276402
7.44,15.804690,67.357046
7.45,15.835345,67.437690
7.46,15.866000,67.518333
7.47,15.896655,67.598977
7.48,15.927310,67.679621
7.49,15.957966,67.760264
7.50,15.988621,67.840908
7.51,16.019276,67.921552
7.52,16.049931,68.002195
7.53,16.080586,68.082839
7.54,16.111241,68.163483
7.55,16.141897,68.244126
7.56,16.172552,68.324770
7.57,16.203207,68.405414
7.58,16.233862,68.486057
7.59,16.264517,68.566701
